INFO  2021-08-31 17:25:52,791 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-08-31 17:25:54,265 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-08-31 17:26:02,641 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-08-31 17:26:02,779 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-08-31 17:26:08,030 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-08-31 17:26:08,186 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-08-31 17:26:17,682 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-08-31 17:26:17,829 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-08-31 17:26:17,873 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-08-31 17:26:18,041 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-08-31 17:26:18,088 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-08-31 17:26:18,548 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-08-31 17:26:18,578 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-08-31 17:26:19,019 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-08-31 17:26:19,048 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-08-31 17:26:19,193 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-08-31 18:00:57,810 MappingDataService::? - GetList : MethodStart
INFO  2021-08-31 18:00:59,475 MappingDataService::? - GetList : MethodFinish
INFO  2021-08-31 18:02:30,156 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-08-31 18:02:31,413 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-08-31 21:52:21,549 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-08-31 21:52:24,401 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-08-31 22:08:21,797 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-08-31 22:08:23,990 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-08-31 22:09:26,047 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-08-31 22:09:26,255 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-08-31 22:09:26,419 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-08-31 22:09:26,666 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
