INFO  2022-02-15 11:28:56,683 MappingDataService::? - GetMappingList : MethodStart
INFO  2022-02-15 11:28:58,376 MappingDataService::? - GetMappingList : MethodFinish
INFO  2022-02-15 11:29:36,911 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2022-02-15 11:29:37,072 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2022-02-15 11:29:37,163 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2022-02-15 11:29:37,364 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2022-02-15 11:29:37,429 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2022-02-15 11:29:37,649 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2022-02-15 11:29:37,719 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2022-02-15 11:29:38,173 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2022-02-15 11:29:38,236 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2022-02-15 11:29:38,385 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2022-02-15 11:30:08,617 MappingDataService::? - GetOrganismMappingDataWithModel : MethodStart
INFO  2022-02-15 11:30:08,816 MappingDataService::? - GetOrganismMappingDataWithModel : MethodFinish
INFO  2022-02-15 11:30:08,878 MappingDataService::? - SaveOrganismMappingData : MethodStart
INFO  2022-02-15 11:30:09,380 MappingDataService::? - SaveOrganismMappingData : MethodFinish
INFO  2022-02-15 11:30:09,636 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2022-02-15 11:30:09,747 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2022-02-15 11:30:09,801 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2022-02-15 11:30:09,911 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2022-02-15 11:30:09,951 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2022-02-15 11:30:10,063 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2022-02-15 11:30:10,123 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2022-02-15 11:30:10,265 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2022-02-15 11:30:10,322 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2022-02-15 11:30:10,432 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2022-02-15 11:30:30,341 MappingDataService::? - GetOrganismMappingDataWithModel : MethodStart
INFO  2022-02-15 11:30:30,470 MappingDataService::? - GetOrganismMappingDataWithModel : MethodFinish
INFO  2022-02-15 11:30:30,532 MappingDataService::? - SaveOrganismMappingData : MethodStart
INFO  2022-02-15 11:30:30,803 MappingDataService::? - SaveOrganismMappingData : MethodFinish
INFO  2022-02-15 11:30:31,003 MappingDataService::? - GetMappingDataById : MethodStart
