INFO  2021-09-25 23:38:55,400 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:38:55,456 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:38:55,524 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:38:55,652 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:38:55,750 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:38:55,901 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:38:55,971 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:38:56,094 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:39:37,749 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:39:37,757 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:39:38,952 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-25 23:39:38,996 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-25 23:39:42,632 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:39:42,660 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:39:43,193 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:39:43,236 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:39:43,342 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:39:43,398 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:39:43,461 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:39:43,516 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:39:43,594 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:39:43,698 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:02,001 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:40:02,034 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:40:02,116 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-25 23:40:02,185 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-25 23:40:02,385 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:40:02,421 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:40:02,639 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:40:02,709 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:03,165 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:40:03,284 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:03,688 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:40:03,831 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:04,265 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:40:04,362 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:30,731 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:40:30,742 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:40:32,403 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-25 23:40:32,443 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-25 23:40:33,118 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:40:33,148 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:40:33,225 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:40:33,261 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:33,338 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:40:33,395 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:33,472 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:40:33,532 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:33,601 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:40:33,683 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:40:59,064 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:40:59,107 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:40:59,805 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-25 23:41:00,284 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-25 23:41:01,273 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:41:01,363 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:41:01,474 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:01,735 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:01,820 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:02,068 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:02,147 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:02,343 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
