INFO  2022-04-20 10:46:13,889 MappingDataService::? - GetMappingList : MethodStart
INFO  2022-04-20 10:46:17,469 MappingDataService::? - GetMappingList : MethodFinish
INFO  2022-04-20 10:47:19,112 MappingDataService::? - GetMappingList : MethodStart
INFO  2022-04-20 10:47:19,271 MappingDataService::? - GetMappingList : MethodFinish
INFO  2022-04-20 10:48:43,895 MappingDataService::? - GetMappingDataWithModel : MethodStart
INFO  2022-04-20 10:48:44,245 MappingDataService::? - GetMappingDataWithModel : MethodFinish
INFO  2022-04-20 10:48:45,827 MappingDataService::? - SaveMappingData : MethodStart
INFO  2022-04-20 10:48:46,475 MappingDataService::? - SaveMappingData : MethodFinish
INFO  2022-04-20 10:48:46,980 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2022-04-20 10:48:47,133 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2022-04-20 10:48:47,243 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2022-04-20 10:48:47,405 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2022-04-20 10:48:47,507 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2022-04-20 10:48:47,683 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2022-04-20 10:48:47,787 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2022-04-20 10:48:48,179 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2022-04-20 10:48:48,284 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2022-04-20 10:48:48,431 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2022-04-20 10:49:44,273 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2022-04-20 10:49:44,402 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2022-04-20 10:49:44,522 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2022-04-20 10:49:44,885 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2022-04-20 10:49:45,208 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2022-04-20 10:49:45,317 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2022-04-20 10:49:45,400 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2022-04-20 10:49:45,519 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2022-04-20 10:49:45,612 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2022-04-20 10:49:45,725 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2022-04-20 10:49:45,798 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2022-04-20 10:49:45,935 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2022-04-20 10:49:46,024 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2022-04-20 10:49:46,135 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2022-04-20 10:49:56,286 MappingDataService::? - GetWHONetMappingData : MethodStart
INFO  2022-04-20 10:49:56,451 MappingDataService::? - GetWHONetMappingData : MethodFinish
INFO  2022-04-20 10:49:58,874 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2022-04-20 10:49:58,989 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2022-04-20 10:49:59,057 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2022-04-20 10:49:59,309 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2022-04-20 10:49:59,539 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2022-04-20 10:49:59,648 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2022-04-20 10:49:59,723 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2022-04-20 10:49:59,832 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2022-04-20 10:49:59,903 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2022-04-20 10:50:00,031 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2022-04-20 10:50:00,097 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2022-04-20 10:50:00,225 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2022-04-20 10:50:00,287 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2022-04-20 10:50:00,401 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2022-04-20 10:50:38,630 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2022-04-20 10:50:38,740 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2022-04-20 10:50:38,829 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2022-04-20 10:50:39,082 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2022-04-20 10:50:39,632 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2022-04-20 10:50:39,744 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2022-04-20 10:50:40,021 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2022-04-20 10:50:40,144 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2022-04-20 10:50:40,222 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2022-04-20 10:50:40,341 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2022-04-20 10:50:40,418 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2022-04-20 10:50:40,555 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2022-04-20 10:50:40,637 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2022-04-20 10:50:40,749 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2022-04-20 10:51:01,609 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2022-04-20 10:51:01,719 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2022-04-20 10:51:02,327 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2022-04-20 10:51:02,584 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2022-04-20 10:51:02,857 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2022-04-20 10:51:02,961 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2022-04-20 10:51:03,035 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2022-04-20 10:51:03,145 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2022-04-20 10:51:03,207 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2022-04-20 10:51:03,327 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2022-04-20 10:51:03,406 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2022-04-20 10:51:03,534 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2022-04-20 10:51:03,596 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2022-04-20 10:51:03,705 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2022-04-20 10:51:18,303 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2022-04-20 10:51:18,415 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2022-04-20 10:51:19,480 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2022-04-20 10:51:19,749 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2022-04-20 10:51:20,005 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2022-04-20 10:51:20,111 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2022-04-20 10:51:20,179 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2022-04-20 10:51:20,292 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2022-04-20 10:51:20,358 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2022-04-20 10:51:20,472 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
