INFO  2023-02-15 18:35:41,759 MappingDataService::? - GetMappingList : MethodStart
INFO  2023-02-15 18:35:43,931 MappingDataService::? - GetMappingList : MethodFinish
INFO  2023-02-15 18:46:35,499 MappingDataService::? - GetMappingList : MethodStart
INFO  2023-02-15 18:46:35,906 MappingDataService::? - GetMappingList : MethodFinish
INFO  2023-02-15 18:47:05,892 MappingDataService::? - GetMappingDataWithModel : MethodStart
INFO  2023-02-15 18:47:06,095 MappingDataService::? - GetMappingDataWithModel : MethodFinish
INFO  2023-02-15 18:47:08,128 MappingDataService::? - SaveMappingData : MethodStart
INFO  2023-02-15 18:47:08,500 MappingDataService::? - SaveMappingData : MethodFinish
INFO  2023-02-15 18:47:08,780 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2023-02-15 18:47:08,898 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2023-02-15 18:47:08,951 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2023-02-15 18:47:09,081 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2023-02-15 18:47:09,145 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2023-02-15 18:47:09,372 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2023-02-15 18:47:09,431 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2023-02-15 18:47:09,712 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2023-02-15 18:47:09,761 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2023-02-15 18:47:09,896 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2023-02-15 18:48:02,179 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2023-02-15 18:48:02,309 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2023-02-15 18:48:02,402 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2023-02-15 18:48:02,710 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2023-02-15 18:48:02,953 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2023-02-15 18:48:03,062 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2023-02-15 18:48:03,162 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2023-02-15 18:48:03,280 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2023-02-15 18:48:03,644 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
