INFO  2021-09-05 23:30:16,217 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-09-05 23:30:16,348 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-09-05 23:30:32,167 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:30:32,281 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:30:32,330 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:30:32,457 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:30:32,498 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:30:32,630 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:30:32,675 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:30:32,897 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:30:32,952 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:30:33,087 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:30:51,556 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:30:51,665 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:30:51,740 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:30:52,011 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:30:52,333 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:30:52,443 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:30:52,503 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:30:52,641 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:30:52,686 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
