INFO  2021-09-13 12:17:58,480 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-13 12:17:59,815 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-13 12:17:59,895 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-13 12:18:00,065 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-13 12:18:00,127 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-13 12:18:00,475 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-13 12:18:00,514 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-13 12:18:00,989 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-13 12:18:01,016 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-13 12:18:01,150 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-13 13:44:32,468 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-13 13:44:32,778 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-13 13:44:32,808 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-13 13:44:32,910 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-13 13:44:32,952 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-13 13:44:33,074 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-13 13:44:33,105 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-13 13:44:33,244 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-13 13:44:33,286 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-13 13:44:33,399 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-13 14:39:52,702 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-09-13 14:39:53,014 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-09-13 16:03:07,035 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-13 16:03:08,269 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-13 16:03:08,357 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-13 16:03:08,505 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-13 16:03:08,546 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-13 16:03:08,708 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-13 16:03:08,738 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-13 16:03:08,898 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-13 16:03:08,933 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-13 16:03:09,064 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-13 16:35:25,251 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-13 16:35:25,554 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-13 16:35:25,573 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-13 16:35:25,678 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-13 16:35:25,696 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-13 16:35:25,821 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-13 16:35:25,841 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-13 16:35:25,971 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-13 16:35:25,989 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-13 16:35:26,100 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-13 16:35:59,267 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-13 16:35:59,405 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-13 16:35:59,440 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-13 16:35:59,908 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-13 16:36:00,108 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-13 16:36:00,222 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-13 16:36:00,239 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-13 16:36:00,343 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-13 16:36:00,387 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-13 16:36:00,506 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-13 16:36:00,543 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-13 16:36:00,679 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-13 16:36:00,696 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-13 16:36:00,807 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-13 16:36:04,748 MappingDataService::? - SaveMappingData : MethodStart
INFO  2021-09-13 16:36:04,986 MappingDataService::? - SaveMappingData : MethodFinish
INFO  2021-09-13 16:36:05,158 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-13 16:36:05,261 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-13 16:36:05,277 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-13 16:36:05,381 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-13 16:36:05,399 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-13 16:36:05,521 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-13 16:36:05,537 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-13 16:36:05,676 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-13 16:36:05,699 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-13 16:36:05,806 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-13 17:08:19,130 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-13 17:08:19,457 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-13 17:08:19,497 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-13 17:08:19,828 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-13 17:08:20,000 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-13 17:08:20,113 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-13 17:08:20,144 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-13 17:08:20,263 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-13 17:08:20,295 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-13 17:08:20,419 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-13 17:08:20,447 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-13 17:08:20,591 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-13 17:08:20,614 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-13 17:08:20,736 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-13 17:08:26,174 MappingDataService::? - SaveMappingData : MethodStart
INFO  2021-09-13 17:08:26,410 MappingDataService::? - SaveMappingData : MethodFinish
INFO  2021-09-13 17:08:26,560 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-13 17:08:26,674 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-13 17:08:26,694 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-13 17:08:26,813 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-13 17:08:26,832 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-13 17:08:26,958 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-13 17:08:26,978 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-13 17:08:27,130 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-13 17:08:27,151 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-13 17:08:27,264 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
