INFO  2021-09-29 16:08:58,187 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 16:08:58,227 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 16:08:58,269 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 16:08:58,305 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-29 16:08:58,348 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-29 16:08:58,398 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-29 16:08:58,448 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 16:08:58,561 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 16:08:58,632 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 16:08:58,685 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-29 16:08:58,727 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-29 16:08:58,769 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:08:58,899 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:09:05,704 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:09:05,818 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:09:07,904 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:09:08,030 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:09:13,027 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:09:13,142 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:09:13,331 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 16:09:13,413 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 16:09:13,507 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 16:09:13,651 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 16:09:13,748 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 16:09:13,794 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 16:09:13,826 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-29 16:09:13,884 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-29 16:09:13,924 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-29 16:09:13,977 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 16:09:14,011 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 16:09:14,163 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 16:09:14,252 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-29 16:09:14,326 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-29 16:09:14,365 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:09:14,485 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:09:21,153 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:09:21,263 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:09:23,641 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:09:23,830 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:09:43,354 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:09:43,471 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:09:52,917 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:09:53,032 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:09:54,575 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:09:54,690 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:10:26,972 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:10:27,081 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:10:30,444 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:10:30,565 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:10:30,771 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 16:10:30,822 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 16:10:30,852 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 16:10:30,895 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 16:10:30,931 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 16:10:30,974 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 16:10:31,004 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-29 16:10:31,045 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-29 16:10:31,078 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-29 16:10:31,117 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 16:10:31,158 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 16:10:31,199 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 16:10:31,244 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-29 16:10:31,285 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-29 16:10:31,331 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:10:31,445 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:10:53,326 WHONETService::? - SaveWHONET_AntibioticsListData : MethodStart
INFO  2021-09-29 16:10:53,362 WHONETService::? - ClearTCWHONET_AntibioticsDataByMST_CODE : MethodStart
INFO  2021-09-29 16:10:53,368 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 16:10:53,413 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 16:10:53,423 WHONETService::? - ClearTCWHONET_AntibioticsDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:10:54,088 WHONETService::? - SaveWHONET_AntibioticsListData : MethodFinish
INFO  2021-09-29 16:10:54,202 WHONETService::? - SaveWHONET_AntibioticSpeciesListData : MethodStart
INFO  2021-09-29 16:10:54,242 WHONETService::? - ClearTCWHONET_AntibioticSpeciesDataByMST_CODE : MethodStart
INFO  2021-09-29 16:10:54,248 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 16:10:54,291 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 16:10:54,296 WHONETService::? - ClearTCWHONET_AntibioticSpeciesDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:10:57,462 WHONETService::? - SaveWHONET_AntibioticSpeciesListData : MethodFinish
INFO  2021-09-29 16:10:57,501 WHONETService::? - SaveWHONET_DepartmentsListData : MethodStart
INFO  2021-09-29 16:10:57,544 WHONETService::? - ClearTCWHONET_DepartmentsDataByMST_CODE : MethodStart
INFO  2021-09-29 16:10:57,549 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 16:10:57,588 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 16:10:57,594 WHONETService::? - ClearTCWHONET_DepartmentsDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:10:57,726 WHONETService::? - SaveWHONET_DepartmentsListData : MethodFinish
INFO  2021-09-29 16:10:57,759 WHONETService::? - SaveWHONET_ColumnListData : MethodStart
INFO  2021-09-29 16:10:57,803 WHONETService::? - ClearTCWHONET_ColumnDataByMST_CODE : MethodStart
INFO  2021-09-29 16:10:57,808 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-29 16:10:57,851 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 16:10:57,856 WHONETService::? - ClearTCWHONET_ColumnDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:10:58,072 WHONETService::? - SaveWHONET_ColumnListData : MethodFinish
INFO  2021-09-29 16:10:58,141 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 16:10:58,185 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 16:10:58,218 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 16:10:58,297 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 16:10:58,374 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 16:10:58,413 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 16:10:58,442 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-29 16:10:58,502 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 16:10:58,564 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:10:58,674 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:11:19,393 WHONETService::? - SaveWHONET_SpecimenListData : MethodStart
INFO  2021-09-29 16:11:19,429 WHONETService::? - ClearTCWHONET_SpecimenDataByMST_CODE : MethodStart
INFO  2021-09-29 16:11:19,434 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-29 16:11:19,476 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-29 16:11:19,489 WHONETService::? - ClearTCWHONET_SpecimenDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:11:20,171 WHONETService::? - SaveWHONET_SpecimenListData : MethodFinish
INFO  2021-09-29 16:11:20,216 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-29 16:11:20,260 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-29 16:11:20,298 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:11:20,407 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:11:30,752 WHONETService::? - SaveWHONET_OrganismListData : MethodStart
INFO  2021-09-29 16:11:30,794 WHONETService::? - ClearTCWHONET_OrganismDataByMST_CODE : MethodStart
INFO  2021-09-29 16:11:30,800 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 16:11:30,844 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 16:11:30,850 WHONETService::? - ClearTCWHONET_OrganismDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:11:38,322 WHONETService::? - SaveWHONET_OrganismListData : MethodFinish
INFO  2021-09-29 16:11:38,346 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 16:11:38,470 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 16:11:38,578 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:11:38,684 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:11:49,637 WHONETService::? - SaveWHONET_MacroListData : MethodStart
INFO  2021-09-29 16:11:49,673 WHONETService::? - ClearTCWHONET_MacroDataByMST_CODE : MethodStart
INFO  2021-09-29 16:11:49,679 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-29 16:11:49,717 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-29 16:11:49,722 WHONETService::? - ClearTCWHONET_MacroDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:11:50,233 WHONETService::? - SaveWHONET_MacroListData : MethodFinish
INFO  2021-09-29 16:11:50,339 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-29 16:11:50,396 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-29 16:11:50,428 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:11:50,534 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:11:53,999 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:11:54,107 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:12:14,822 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:12:14,947 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:12:21,162 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:12:21,275 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:12:24,142 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:12:24,257 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:12:24,428 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 16:12:24,470 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 16:12:24,500 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 16:12:24,567 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 16:12:24,611 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 16:12:24,653 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 16:12:24,682 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-29 16:12:24,726 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-29 16:12:24,757 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-29 16:12:24,808 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 16:12:24,838 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 16:12:24,966 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 16:12:25,035 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-29 16:12:25,086 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-29 16:12:25,148 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:12:25,266 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:12:40,509 WHONETService::? - DeleteWHONET_AntibioticsListData : MethodStart
INFO  2021-09-29 16:12:40,793 WHONETService::? - DeleteWHONET_AntibioticsListData : MethodFinish
INFO  2021-09-29 16:12:40,959 WHONETService::? - DeleteWHONET_AntibioticSpeciesListData : MethodStart
INFO  2021-09-29 16:12:41,808 WHONETService::? - DeleteWHONET_AntibioticSpeciesListData : MethodFinish
INFO  2021-09-29 16:12:41,845 WHONETService::? - DeleteWHONET_DepartmentsListData : MethodStart
INFO  2021-09-29 16:12:41,994 WHONETService::? - DeleteWHONET_DepartmentsListData : MethodFinish
INFO  2021-09-29 16:12:42,066 WHONETService::? - DeleteWHONET_ColumnListData : MethodStart
INFO  2021-09-29 16:12:42,275 WHONETService::? - DeleteWHONET_ColumnListData : MethodFinish
INFO  2021-09-29 16:12:42,325 WHONETService::? - SaveWHONET_AntibioticsListData : MethodStart
INFO  2021-09-29 16:12:42,367 WHONETService::? - ClearTCWHONET_AntibioticsDataByMST_CODE : MethodStart
INFO  2021-09-29 16:12:42,373 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 16:12:42,418 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 16:12:42,423 WHONETService::? - ClearTCWHONET_AntibioticsDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:12:42,838 WHONETService::? - SaveWHONET_AntibioticsListData : MethodFinish
INFO  2021-09-29 16:12:42,895 WHONETService::? - SaveWHONET_AntibioticSpeciesListData : MethodStart
INFO  2021-09-29 16:12:42,936 WHONETService::? - ClearTCWHONET_AntibioticSpeciesDataByMST_CODE : MethodStart
INFO  2021-09-29 16:12:42,941 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 16:12:42,987 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 16:12:42,992 WHONETService::? - ClearTCWHONET_AntibioticSpeciesDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:12:46,285 WHONETService::? - SaveWHONET_AntibioticSpeciesListData : MethodFinish
INFO  2021-09-29 16:12:46,349 WHONETService::? - SaveWHONET_DepartmentsListData : MethodStart
INFO  2021-09-29 16:12:46,398 WHONETService::? - ClearTCWHONET_DepartmentsDataByMST_CODE : MethodStart
INFO  2021-09-29 16:12:46,411 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 16:12:46,464 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 16:12:46,481 WHONETService::? - ClearTCWHONET_DepartmentsDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:12:46,612 WHONETService::? - SaveWHONET_DepartmentsListData : MethodFinish
INFO  2021-09-29 16:12:46,697 WHONETService::? - SaveWHONET_ColumnListData : MethodStart
INFO  2021-09-29 16:12:46,739 WHONETService::? - ClearTCWHONET_ColumnDataByMST_CODE : MethodStart
INFO  2021-09-29 16:12:46,748 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-29 16:12:46,797 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 16:12:46,805 WHONETService::? - ClearTCWHONET_ColumnDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:12:46,966 WHONETService::? - SaveWHONET_ColumnListData : MethodFinish
INFO  2021-09-29 16:12:47,031 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-29 16:12:47,081 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-29 16:12:47,115 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-29 16:12:47,192 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-29 16:12:47,238 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-29 16:12:47,283 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-29 16:12:47,314 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
