INFO  2021-08-09 09:52:08,552 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-08-09 09:52:10,290 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-08-09 12:21:25,385 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-08-09 12:21:26,148 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-08-09 12:21:43,421 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 12:21:43,457 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 12:21:43,582 LogProcessService::? - GetLogProcessAuthListWithModel : MethodStart
INFO  2021-08-09 12:21:43,630 LogProcessService::? - GetLogProcessAuthListWithModel : MethodFinish
INFO  2021-08-09 13:04:07,613 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:04:07,639 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:04:10,890 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:04:10,898 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:04:10,997 LogProcessService::? - GetLogProcessAuthListWithModel : MethodStart
INFO  2021-08-09 13:04:11,005 LogProcessService::? - GetLogProcessAuthListWithModel : MethodFinish
INFO  2021-08-09 13:04:24,565 LogProcessService::? - GetLogProcessAuthListWithModel : MethodStart
INFO  2021-08-09 13:04:24,575 LogProcessService::? - GetLogProcessAuthListWithModel : MethodFinish
INFO  2021-08-09 13:04:27,620 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:04:27,626 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:04:37,669 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-08-09 13:04:37,691 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-08-09 13:11:41,602 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:11:41,612 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:25:15,885 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:25:15,897 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:39:16,743 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-08-09 13:39:17,683 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-08-09 13:39:28,314 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:39:28,346 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:42:59,649 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:42:59,688 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:43:00,535 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2021-08-09 13:43:00,536 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2021-08-09 13:43:00,564 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2021-08-09 13:43:00,566 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2021-08-09 13:43:04,276 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:43:04,284 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:43:05,687 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:43:05,690 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-08-09 13:43:05,936 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2021-08-09 13:43:05,938 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2021-08-09 13:43:05,948 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2021-08-09 13:43:05,949 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2021-08-09 13:43:08,858 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-08-09 13:43:08,863 TBConfigService::? - GetTBConfig : MethodFinish
