INFO  2022-08-31 10:20:40,385 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2022-08-31 10:20:44,788 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2022-08-31 10:22:27,067 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:22:27,749 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:23:26,345 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-08-31 10:23:26,351 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-08-31 10:23:26,687 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-08-31 10:23:26,697 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-08-31 10:36:04,766 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:36:05,149 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:36:13,680 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:36:13,806 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:36:14,318 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2022-08-31 10:36:14,540 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2022-08-31 10:36:14,657 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2022-08-31 10:36:14,732 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2022-08-31 10:36:14,846 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2022-08-31 10:36:14,907 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2022-08-31 10:36:15,121 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2022-08-31 10:36:15,200 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2022-08-31 10:36:15,307 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2022-08-31 10:36:15,360 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2022-08-31 10:36:15,468 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2022-08-31 10:36:15,615 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2022-08-31 10:36:15,704 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2022-08-31 10:36:15,764 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2022-08-31 10:36:17,291 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2022-08-31 10:36:17,469 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2022-08-31 10:36:41,694 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:36:41,800 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:36:44,911 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:36:45,023 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:36:45,296 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2022-08-31 10:36:45,368 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2022-08-31 10:36:45,440 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2022-08-31 10:36:45,559 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2022-08-31 10:36:45,676 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2022-08-31 10:36:45,738 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2022-08-31 10:36:45,818 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2022-08-31 10:36:45,856 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2022-08-31 10:36:45,942 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2022-08-31 10:36:45,994 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2022-08-31 10:36:46,062 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2022-08-31 10:36:46,110 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2022-08-31 10:36:46,171 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2022-08-31 10:36:46,208 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2022-08-31 10:36:46,455 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2022-08-31 10:36:46,558 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2022-08-31 10:36:48,354 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:36:48,472 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:36:56,287 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:36:56,397 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:36:56,684 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2022-08-31 10:36:56,729 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2022-08-31 10:36:56,806 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2022-08-31 10:36:56,902 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2022-08-31 10:36:57,017 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2022-08-31 10:36:57,059 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2022-08-31 10:36:57,121 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2022-08-31 10:36:57,183 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2022-08-31 10:36:57,253 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2022-08-31 10:36:57,292 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2022-08-31 10:36:57,346 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2022-08-31 10:36:57,484 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2022-08-31 10:36:57,654 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2022-08-31 10:36:57,716 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2022-08-31 10:36:58,443 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2022-08-31 10:36:58,545 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2022-08-31 10:39:33,086 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:39:33,194 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:39:36,218 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-08-31 10:39:36,222 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-08-31 10:39:36,338 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-08-31 10:39:36,342 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-08-31 10:43:33,809 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:43:33,920 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:43:50,398 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:43:50,514 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:43:54,229 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:43:54,334 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:44:01,424 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:44:01,524 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:44:13,426 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:44:13,528 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:44:23,209 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:44:23,310 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:46:02,018 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:46:02,145 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:46:02,740 LogProcessService::? - GetLogProcessAuthListWithModel : MethodStart
INFO  2022-08-31 10:46:02,898 LogProcessService::? - GetLogProcessAuthListWithModel : MethodFinish
INFO  2022-08-31 10:46:21,330 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:46:21,433 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:46:23,976 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:46:24,075 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:46:28,869 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:46:28,969 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:52:37,588 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:52:37,955 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 10:52:38,553 LogProcessService::? - GetLogProcessAuthListWithModel : MethodStart
INFO  2022-08-31 10:52:38,658 LogProcessService::? - GetLogProcessAuthListWithModel : MethodFinish
INFO  2022-08-31 10:54:06,030 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 10:54:06,148 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-08-31 11:29:26,186 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-08-31 11:29:26,554 TBConfigService::? - GetTBConfig : MethodFinish
