INFO  2021-09-25 21:21:03,018 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-09-25 21:21:04,237 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-09-25 21:21:41,381 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-25 21:21:41,449 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-25 21:21:55,344 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-25 21:21:55,466 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-25 21:22:01,928 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-25 21:22:01,985 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-25 21:22:02,130 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-25 21:22:02,212 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-25 21:22:02,317 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-25 21:22:02,354 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-25 21:22:02,441 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-25 21:22:02,495 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-25 21:22:02,629 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-25 21:22:02,672 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-25 21:22:02,775 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-25 21:22:02,977 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-25 21:22:03,314 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-25 21:22:03,361 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-25 21:22:03,448 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-25 21:22:03,491 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-25 21:23:03,093 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-25 21:23:03,167 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-25 21:23:06,106 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-25 21:23:06,113 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-25 21:23:06,200 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-25 21:23:06,214 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-25 21:23:06,250 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-25 21:23:06,271 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-25 21:23:06,321 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-25 21:23:06,329 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-25 21:23:06,361 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-25 21:23:06,373 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-25 21:23:06,409 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-25 21:23:06,419 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-25 21:23:06,450 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-25 21:23:06,491 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-25 21:23:06,611 WHONETService::? - Get_TCWHONET_Macro_List : MethodStart
INFO  2021-09-25 21:23:06,626 WHONETService::? - Get_TCWHONET_Macro_List : MethodFinish
INFO  2021-09-25 21:23:06,689 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-25 21:23:06,711 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-25 21:23:33,918 WHONETService::? - DeleteWHONET_AntibioticsListData : MethodStart
INFO  2021-09-25 21:23:34,133 WHONETService::? - DeleteWHONET_AntibioticsListData : MethodFinish
INFO  2021-09-25 21:23:34,229 WHONETService::? - DeleteWHONET_AntibioticSpeciesListData : MethodStart
INFO  2021-09-25 21:23:36,205 WHONETService::? - DeleteWHONET_AntibioticSpeciesListData : MethodFinish
INFO  2021-09-25 21:23:36,246 WHONETService::? - DeleteWHONET_DepartmentsListData : MethodStart
INFO  2021-09-25 21:23:36,280 WHONETService::? - DeleteWHONET_DepartmentsListData : MethodFinish
INFO  2021-09-25 21:23:36,320 WHONETService::? - DeleteWHONET_ColumnListData : MethodStart
INFO  2021-09-25 21:23:36,369 WHONETService::? - DeleteWHONET_ColumnListData : MethodFinish
INFO  2021-09-25 21:23:36,415 WHONETService::? - SaveWHONET_AntibioticsListData : MethodStart
INFO  2021-09-25 21:23:36,424 WHONETService::? - ClearTCWHONET_AntibioticsDataByMST_CODE : MethodStart
INFO  2021-09-25 21:23:36,429 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-25 21:23:36,436 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
