INFO  2021-09-11 12:09:19,612 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 12:09:19,655 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 12:09:19,747 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 12:09:20,944 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 12:09:21,279 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 12:09:24,281 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 12:09:24,444 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 12:09:24,646 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 12:09:24,688 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 12:09:24,727 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 12:09:24,776 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 12:09:24,815 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 12:09:24,858 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 12:09:24,895 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 12:09:25,006 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 12:09:25,048 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 12:09:25,144 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 12:09:25,222 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 12:09:25,327 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 12:09:40,064 WHONETService::? - SaveWHONET_AntibioticsListData : MethodStart
INFO  2021-09-11 12:09:40,104 WHONETService::? - ClearTCWHONET_AntibioticsDataByMST_CODE : MethodStart
INFO  2021-09-11 12:09:40,106 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 12:09:40,148 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 12:09:40,169 WHONETService::? - ClearTCWHONET_AntibioticsDataByMST_CODE : MethodFinish
INFO  2021-09-11 12:09:41,279 WHONETService::? - SaveWHONET_AntibioticsListData : MethodFinish
INFO  2021-09-11 12:09:41,369 WHONETService::? - SaveWHONET_AntibioticSpeciesListData : MethodStart
INFO  2021-09-11 12:09:41,408 WHONETService::? - ClearTCWHONET_AntibioticSpeciesDataByMST_CODE : MethodStart
INFO  2021-09-11 12:09:41,412 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 12:09:41,453 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 12:09:41,457 WHONETService::? - ClearTCWHONET_AntibioticSpeciesDataByMST_CODE : MethodFinish
INFO  2021-09-11 12:09:43,159 WHONETService::? - SaveWHONET_AntibioticSpeciesListData : MethodFinish
INFO  2021-09-11 12:09:43,229 WHONETService::? - SaveWHONET_DepartmentsListData : MethodStart
INFO  2021-09-11 12:09:43,369 WHONETService::? - SaveWHONET_DepartmentsListData : MethodFinish
INFO  2021-09-11 12:09:43,411 WHONETService::? - SaveWHONET_SpecimenListData : MethodStart
INFO  2021-09-11 12:09:43,537 WHONETService::? - SaveWHONET_SpecimenListData : MethodFinish
INFO  2021-09-11 12:09:43,609 WHONETService::? - SaveWHONET_ColumnListData : MethodStart
INFO  2021-09-11 12:09:43,645 WHONETService::? - ClearTCWHONET_ColumnDataByMST_CODE : MethodStart
INFO  2021-09-11 12:09:43,647 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 12:09:43,714 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 12:09:43,832 WHONETService::? - ClearTCWHONET_ColumnDataByMST_CODE : MethodFinish
INFO  2021-09-11 12:09:44,043 WHONETService::? - SaveWHONET_ColumnListData : MethodFinish
INFO  2021-09-11 12:12:11,944 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 12:12:12,046 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 12:12:12,179 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 12:12:12,219 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 12:12:12,262 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 12:12:12,301 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 12:12:12,335 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 12:12:12,407 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 12:12:12,455 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 12:12:12,553 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 12:21:44,885 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 12:21:45,308 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 12:21:47,297 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 12:21:47,479 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 12:21:47,687 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 12:21:48,017 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 12:21:48,051 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 12:21:48,354 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 12:21:48,419 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 12:21:48,462 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 12:21:48,493 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 12:21:48,564 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 12:21:48,601 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 12:21:48,711 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 12:21:48,759 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 12:21:48,874 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:14:14,872 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-09-11 14:14:15,977 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-09-11 14:14:17,803 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:14:18,142 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:14:27,808 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:14:27,968 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:14:28,234 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 14:14:28,324 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 14:14:28,368 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 14:14:28,499 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 14:14:28,553 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 14:14:28,601 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 14:14:28,631 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 14:14:28,677 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 14:14:28,709 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 14:14:28,762 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 14:14:28,797 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 14:14:28,911 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:15:05,630 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:15:05,768 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:15:06,021 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 14:15:06,061 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 14:15:06,089 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 14:15:06,174 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 14:15:06,211 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 14:15:06,246 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
