INFO  2021-08-03 10:37:35,344 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-08-03 10:37:36,939 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-08-03 10:37:37,048 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 10:37:37,200 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 10:40:13,280 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-08-03 10:40:13,385 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-08-03 10:40:13,431 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 10:40:13,457 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 10:40:47,385 HISFileUploadService::? - SaveLabFileUploadData : MethodStart
INFO  2021-08-03 10:40:47,745 HISFileUploadService::? - SaveFileUploadSummary : MethodStart
INFO  2021-08-03 10:40:48,740 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 10:40:48,749 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 10:40:52,297 HISFileUploadService::? - GetHISFileUploadDataById : MethodStart
INFO  2021-08-03 10:40:52,318 HISFileUploadService::? - GetHISFileUploadDataById : MethodFinish
INFO  2021-08-03 10:40:52,358 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodStart
INFO  2021-08-03 10:40:52,413 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodFinish
INFO  2021-08-03 10:41:17,978 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-08-03 10:41:18,064 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-08-03 10:41:18,105 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 10:41:18,155 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 10:41:22,370 HISFileUploadService::? - GetHISFileUploadDataById : MethodStart
INFO  2021-08-03 10:41:22,401 HISFileUploadService::? - GetHISFileUploadDataById : MethodFinish
INFO  2021-08-03 10:41:22,435 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodStart
INFO  2021-08-03 10:41:22,484 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodFinish
INFO  2021-08-03 10:41:38,449 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-08-03 10:41:38,462 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-08-03 10:41:38,504 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 10:41:38,515 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 11:04:12,379 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-08-03 11:04:14,529 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-08-03 11:04:14,695 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 11:04:14,912 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 11:25:47,529 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-08-03 11:25:49,723 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-08-03 11:25:49,859 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 11:25:50,091 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 12:11:46,882 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-08-03 12:11:48,345 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-08-03 12:11:48,438 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 12:11:48,569 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 12:12:13,125 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 12:12:13,251 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-08-03 12:12:37,167 HISFileUploadService::? - SaveLabFileUploadData : MethodStart
INFO  2021-08-03 12:12:37,493 HISFileUploadService::? - SaveFileUploadSummary : MethodStart
INFO  2021-08-03 12:12:37,859 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-08-03 12:12:37,876 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
