INFO  2021-07-15 11:30:55,752 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 11:30:56,694 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 11:30:56,749 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 11:30:56,839 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-15 11:31:23,346 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 11:31:23,402 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-15 11:35:20,652 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 11:35:20,662 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 11:35:20,683 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 11:35:20,693 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-15 11:35:52,187 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 11:35:52,195 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 11:35:53,087 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 11:35:53,091 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 11:35:53,112 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 11:35:53,124 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-15 11:36:28,487 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 11:36:28,502 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-15 11:45:21,325 HISFileUploadService::? - SaveLabFileUploadData : MethodStart
INFO  2021-07-15 11:45:21,551 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 11:45:21,568 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-15 11:45:31,440 HISFileUploadService::? - GetHISFileUploadDataById : MethodStart
INFO  2021-07-15 11:45:31,457 HISFileUploadService::? - GetHISFileUploadDataById : MethodFinish
INFO  2021-07-15 11:45:31,478 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodStart
INFO  2021-07-15 11:45:31,512 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodFinish
INFO  2021-07-15 11:51:02,557 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 11:51:03,295 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 11:51:03,349 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 11:51:03,423 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-15 11:51:12,243 HISFileUploadService::? - GetHISFileUploadDataById : MethodStart
INFO  2021-07-15 11:51:12,280 HISFileUploadService::? - GetHISFileUploadDataById : MethodFinish
INFO  2021-07-15 11:51:12,304 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodStart
INFO  2021-07-15 11:51:12,329 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodFinish
INFO  2021-07-15 11:51:15,517 HISFileUploadService::? - SaveLabFileUploadData : MethodStart
INFO  2021-07-15 11:51:16,884 HISFileUploadService::? - GetHISFileUploadDataById : MethodStart
INFO  2021-07-15 11:51:16,892 HISFileUploadService::? - GetHISFileUploadDataById : MethodFinish
INFO  2021-07-15 11:51:16,917 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodStart
INFO  2021-07-15 11:51:16,923 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodFinish
INFO  2021-07-15 11:55:12,058 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 11:55:12,795 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 11:55:12,982 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 11:55:12,982 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 11:55:13,041 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 11:55:13,127 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-15 11:55:29,063 HISFileUploadService::? - GetHISFileUploadDataById : MethodStart
INFO  2021-07-15 11:55:29,075 HISFileUploadService::? - GetHISFileUploadDataById : MethodFinish
INFO  2021-07-15 11:55:29,101 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodStart
INFO  2021-07-15 11:55:29,134 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodFinish
INFO  2021-07-15 11:55:35,651 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 11:55:35,657 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 11:57:22,359 HISFileUploadService::? - GetLabDataWithHIS : MethodStart
INFO  2021-07-15 11:57:22,836 HISFileUploadService::? - GetLabDataWithHIS : MethodFinish
INFO  2021-07-15 11:57:22,875 HISFileUploadService::? - GetSTGHISUploadDetail : MethodStart
INFO  2021-07-15 11:57:23,077 HISFileUploadService::? - GetSTGHISUploadDetail : MethodFinish
INFO  2021-07-15 11:57:23,106 HISFileUploadService::? - GetLabDataWithHISDetail : MethodStart
INFO  2021-07-15 11:57:23,171 HISFileUploadService::? - GetLabDataWithHISDetail : MethodFinish
INFO  2021-07-15 12:06:08,021 HISFileUploadService::? - GetLabDataWithHIS : MethodStart
INFO  2021-07-15 12:06:08,276 HISFileUploadService::? - GetLabDataWithHIS : MethodFinish
INFO  2021-07-15 12:06:08,297 HISFileUploadService::? - GetSTGHISUploadDetail : MethodStart
INFO  2021-07-15 12:06:08,459 HISFileUploadService::? - GetSTGHISUploadDetail : MethodFinish
INFO  2021-07-15 12:06:08,475 HISFileUploadService::? - GetLabDataWithHISDetail : MethodStart
INFO  2021-07-15 12:06:08,531 HISFileUploadService::? - GetLabDataWithHISDetail : MethodFinish
INFO  2021-07-15 12:14:27,586 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-15 12:14:27,597 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-15 12:14:27,621 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-15 12:14:27,630 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
