INFO  2021-09-27 11:09:02,778 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-09-27 11:09:06,497 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-09-27 11:09:06,652 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-09-27 11:09:07,226 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-09-27 11:18:55,649 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-09-27 11:18:57,326 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-09-27 11:18:57,474 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-09-27 11:18:57,870 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-09-27 11:20:45,111 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-09-27 11:20:45,301 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-09-27 11:21:52,169 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-09-27 11:38:03,521 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-09-27 11:38:05,788 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-09-27 11:38:09,841 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-09-27 11:38:48,052 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-09-27 11:39:46,199 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-09-27 11:39:46,325 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-09-27 11:39:51,952 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-09-27 11:40:06,257 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-09-27 11:41:41,312 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
