INFO  2021-07-21 21:28:16,668 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-21 21:28:17,605 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-21 21:28:17,671 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 21:28:17,747 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 21:30:16,193 HISFileUploadService::? - SaveLabFileUploadData : MethodStart
INFO  2021-07-21 21:30:16,422 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 21:30:16,436 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:24:03,612 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-21 22:24:04,542 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-21 22:24:04,608 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:24:04,739 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:24:23,815 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:24:23,866 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:30:56,525 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-21 22:30:56,536 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-21 22:30:56,557 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:30:56,570 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:34:37,208 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-21 22:34:37,216 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-21 22:34:37,240 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:34:37,254 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:37:18,002 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-21 22:37:18,012 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-21 22:37:18,037 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:37:18,058 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:44:47,392 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-21 22:44:48,138 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-21 22:44:48,194 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:44:48,262 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:45:27,577 HISFileUploadService::? - SaveLabFileUploadData : MethodStart
INFO  2021-07-21 22:45:27,803 HISFileUploadService::? - SaveFileUploadSummary : MethodStart
INFO  2021-07-21 22:45:28,015 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:45:28,030 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:50:11,092 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:50:11,111 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
INFO  2021-07-21 22:50:31,884 HISFileUploadService::? - GetHISFileUploadDataById : MethodStart
INFO  2021-07-21 22:50:31,902 HISFileUploadService::? - GetHISFileUploadDataById : MethodFinish
INFO  2021-07-21 22:50:31,957 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodStart
INFO  2021-07-21 22:50:32,000 HISFileUploadService::? - GetHISFileUploadSummaryByUploadId : MethodFinish
INFO  2021-07-21 22:50:45,281 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodStart
INFO  2021-07-21 22:50:45,288 HISFileUploadService::? - GetHISFileTemplate_Actice_WithModel : MethodFinish
INFO  2021-07-21 22:50:45,307 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodStart
INFO  2021-07-21 22:50:45,318 HISFileUploadService::? - GetHISFileUploadListWithModel : MethodFinish
