INFO  2021-08-10 10:04:17,671 LabFileUploadService::? - GetLabFileUploadListWithModel : MethodStart
INFO  2021-08-10 10:04:19,956 LabFileUploadService::? - GetLabFileUploadListWithModel : MethodFinish
INFO  2021-08-10 10:11:57,108 LabFileUploadService::? - GetLabFileUploadDataById : MethodStart
INFO  2021-08-10 10:11:57,195 LabFileUploadService::? - GetLabFileUploadDataById : MethodFinish
INFO  2021-08-10 10:11:57,222 LabFileUploadService::? - GetLabFileSummaryHeaderBylfuId : MethodStart
INFO  2021-08-10 10:11:57,289 LabFileUploadService::? - GetLabFileSummaryHeaderBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,314 LabFileUploadService::? - GetLabFileErrorHeaderListBylfuId : MethodStart
INFO  2021-08-10 10:11:57,329 LabFileUploadService::? - GetLabFileErrorHeaderListBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,351 LabFileUploadService::? - GetLabFileErrorDetailListBylfuId : MethodStart
INFO  2021-08-10 10:11:57,635 LabFileUploadService::? - GetLabFileErrorDetailListBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,669 LabFileUploadService::? - GetLabFileLabAlertSummaryBylfuId : MethodStart
INFO  2021-08-10 10:11:57,682 LabFileUploadService::? - GetLabFileLabAlertSummaryBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,709 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,728 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,749 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,755 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,774 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,779 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,794 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,800 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,821 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,826 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,843 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,848 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,865 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,871 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,896 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,903 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,921 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,927 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,944 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,950 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,973 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:57,979 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:57,998 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,003 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,042 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,049 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,070 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,077 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,099 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,105 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,125 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,130 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,156 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,163 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,184 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,196 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,230 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,236 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,258 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,264 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,289 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,296 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,317 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,323 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,349 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,358 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,384 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,392 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,416 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,426 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,452 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,460 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,485 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,494 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,519 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
INFO  2021-08-10 10:11:58,526 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodFinish
INFO  2021-08-10 10:11:58,553 LabFileUploadService::? - GetLabFileSummaryDetailBylfuId : MethodStart
