INFO  2021-09-06 20:36:19,028 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-06 20:36:19,033 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-06 20:36:19,223 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-06 21:15:54,359 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-06 21:15:56,555 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-06 21:15:56,557 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-06 21:15:56,708 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-06 21:15:56,711 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-06 21:15:56,879 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-06 21:19:44,105 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-06 21:19:47,698 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-06 21:19:47,702 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-06 21:19:47,855 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-06 21:19:47,858 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-06 21:19:48,032 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-06 21:28:39,123 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-06 21:28:41,621 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-06 21:28:41,623 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-06 21:28:41,761 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-06 21:28:41,763 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-06 21:28:41,923 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-06 21:33:01,409 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-06 21:33:03,380 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-06 21:33:03,382 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-06 21:33:03,502 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-06 21:33:03,504 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-06 21:33:03,645 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-06 21:37:46,847 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-06 21:37:49,061 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-06 21:37:49,064 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-06 21:37:49,192 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-06 21:37:49,196 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-06 21:37:49,352 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-06 21:40:05,541 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-06 21:40:07,440 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-06 21:40:07,442 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-06 21:40:07,574 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-06 21:40:07,576 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-06 21:40:07,720 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
