INFO  2021-09-30 11:54:54,802 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-30 12:09:05,443 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-30 12:09:06,712 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-30 12:09:06,726 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-30 12:09:06,847 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-30 12:09:06,852 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-30 12:09:06,972 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-30 12:35:45,498 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-30 12:35:46,973 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-30 12:35:46,980 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-30 12:35:47,127 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-30 12:35:47,133 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-30 12:35:47,301 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-30 13:16:05,762 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-30 13:16:07,268 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-30 13:16:07,274 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-30 13:16:07,419 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-30 13:16:07,425 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-30 13:16:07,561 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-30 13:33:46,432 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-30 13:33:47,736 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-30 13:33:47,756 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-30 13:33:47,892 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-30 13:33:47,899 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-30 13:33:48,022 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-30 15:19:43,223 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-30 15:19:47,574 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-30 15:19:47,587 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-30 15:19:47,776 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-30 15:19:47,790 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-30 15:19:47,990 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
INFO  2021-09-30 16:32:48,242 LoginDataService::? - Get_LoginUser_Data : MethodStart
INFO  2021-09-30 16:32:49,528 LoginDataService::? - Get_LoginUser_Data : MethodFinish
INFO  2021-09-30 16:32:49,542 LoginDataService::? - Get_LoginUserPermission_Data : MethodStart
INFO  2021-09-30 16:32:49,660 LoginDataService::? - Get_LoginUserPermission_Data : MethodFinish
INFO  2021-09-30 16:32:49,682 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodStart
INFO  2021-09-30 16:32:49,844 LoginDataService::? - Get_LoginUserRolePermission_Data : MethodFinish
