INFO  2023-04-05 16:39:21,379 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-04-05 16:39:23,849 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-04-05 16:39:23,954 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-04-05 16:39:24,243 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-04-05 16:40:39,463 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-04-05 16:40:39,598 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-04-05 16:40:48,834 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2023-04-05 16:40:48,945 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2023-04-05 16:41:41,131 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2023-04-05 16:41:41,234 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2023-04-05 16:42:15,326 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-04-05 16:42:15,450 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-04-05 16:42:17,442 HospitalDataService::? - Get_TCHospital_List : MethodStart
INFO  2023-04-05 16:42:17,568 HospitalDataService::? - Get_TCHospital_List : MethodFinish
INFO  2023-04-05 16:42:59,196 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2023-04-05 16:42:59,296 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2023-04-05 16:42:59,323 RoleDataService::? - Get_Role_List : MethodStart
INFO  2023-04-05 16:42:59,420 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2023-04-05 16:58:26,328 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-04-05 16:58:26,727 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2023-04-05 16:58:31,294 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2023-04-05 16:58:31,388 ParameterService::? - Get_Parameter_List : MethodFinish
