INFO  2021-09-14 12:17:31,199 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 12:17:33,095 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 12:17:33,211 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 12:17:33,555 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 12:18:03,811 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 12:18:03,980 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 12:18:04,043 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 12:18:04,158 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 12:29:19,990 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 12:29:20,343 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 12:29:20,462 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 12:29:20,751 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 12:29:46,818 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-09-14 12:29:46,981 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-09-14 12:29:52,383 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 12:29:52,519 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 12:29:52,560 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 12:29:52,668 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 12:30:03,464 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 12:30:03,603 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 12:30:03,694 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 12:30:03,811 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 12:30:34,782 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-09-14 12:30:34,905 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-09-14 14:08:35,502 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 14:08:36,569 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 14:08:36,630 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 14:08:36,937 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 14:14:03,661 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 14:14:04,718 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 14:14:04,768 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 14:14:05,066 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 14:40:20,472 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 14:40:21,509 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 14:40:21,560 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 14:40:21,868 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 14:54:16,092 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 14:54:17,216 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 14:54:17,267 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 14:54:17,559 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 15:03:15,488 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 15:03:16,529 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 15:03:16,581 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 15:03:16,888 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 15:07:20,838 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 15:07:20,981 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 15:07:21,025 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 15:07:21,135 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 15:07:36,247 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 15:07:36,359 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 15:32:39,250 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-09-14 15:32:39,688 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-09-14 15:32:46,931 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 15:32:47,039 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 15:32:47,063 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 15:32:47,336 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 15:33:03,547 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-09-14 15:33:03,649 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-09-14 16:10:53,907 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-09-14 16:10:54,180 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-09-14 16:10:54,203 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 16:10:54,321 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 17:44:26,956 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 17:44:27,250 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 17:44:27,281 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 17:44:27,558 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 18:01:11,588 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 18:01:12,622 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 18:01:12,670 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 18:01:12,947 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 18:03:21,466 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 18:03:22,537 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 18:03:22,594 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 18:03:22,873 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 18:03:44,690 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 18:03:44,844 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 18:03:44,881 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 18:03:44,986 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 18:03:57,951 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 18:03:58,069 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 18:03:58,093 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 18:03:58,199 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-09-14 18:04:14,228 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-09-14 18:04:14,350 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-09-14 18:04:14,403 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-09-14 18:04:14,507 RoleDataService::? - Get_Role_List : MethodFinish
