INFO  2021-11-02 17:04:21,546 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:04:22,766 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:04:22,824 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-11-02 17:04:23,115 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-11-02 17:04:45,871 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2021-11-02 17:04:46,024 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2021-11-02 17:05:42,500 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:05:42,608 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:05:47,341 HospitalDataService::? - Get_TCHospital_List : MethodStart
INFO  2021-11-02 17:05:47,483 HospitalDataService::? - Get_TCHospital_List : MethodFinish
INFO  2021-11-02 17:06:27,917 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-02 17:06:28,044 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-02 17:06:28,100 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:06:28,206 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:13:08,594 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-02 17:13:08,994 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-02 17:13:14,674 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:13:14,785 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:13:14,827 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-11-02 17:13:15,091 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-11-02 17:14:32,151 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:14:32,280 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:14:40,257 HospitalDataService::? - Get_Hospital_List : MethodStart
INFO  2021-11-02 17:14:40,380 HospitalDataService::? - Get_Hospital_List : MethodFinish
INFO  2021-11-02 17:14:48,734 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:14:48,848 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:14:51,674 HospitalDataService::? - Get_Hospital_List : MethodStart
INFO  2021-11-02 17:14:51,788 HospitalDataService::? - Get_Hospital_List : MethodFinish
INFO  2021-11-02 17:15:17,123 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:15:17,234 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:17:31,270 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:17:31,394 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:17:31,452 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-11-02 17:17:31,576 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-11-02 17:17:50,842 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-02 17:17:50,963 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-02 17:17:51,574 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-11-02 17:17:51,698 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-11-02 17:18:08,661 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-11-02 17:18:08,780 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-11-02 17:18:08,820 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-11-02 17:18:08,931 RoleDataService::? - Get_Role_List : MethodFinish
