INFO  2022-01-14 15:36:10,222 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 15:36:11,637 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 15:36:11,704 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-01-14 15:36:11,999 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-01-14 15:36:48,921 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 15:36:49,066 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 15:38:13,572 HospitalDataService::? - Get_TCHospital_List : MethodStart
INFO  2022-01-14 15:38:13,864 HospitalDataService::? - Get_TCHospital_List : MethodFinish
INFO  2022-01-14 15:38:42,845 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 15:38:42,980 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 15:38:51,405 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2022-01-14 15:38:51,538 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2022-01-14 15:39:54,451 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2022-01-14 15:39:54,574 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2022-01-14 15:47:59,027 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 15:48:00,166 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 15:53:31,410 HospitalDataService::? - Get_TCHospital_List : MethodStart
INFO  2022-01-14 15:53:31,541 HospitalDataService::? - Get_TCHospital_List : MethodFinish
INFO  2022-01-14 15:54:39,953 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 15:54:40,103 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 15:54:40,194 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-01-14 15:54:40,478 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-01-14 15:55:12,263 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2022-01-14 15:55:12,392 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2022-01-14 15:55:23,158 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2022-01-14 15:55:23,266 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2022-01-14 16:05:37,400 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:05:37,690 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:05:37,729 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-01-14 16:05:37,989 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-01-14 16:05:44,503 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:05:44,621 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:23:53,070 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2022-01-14 16:23:53,451 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2022-01-14 16:23:58,182 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:23:58,292 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:23:58,353 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-01-14 16:23:58,619 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-01-14 16:24:21,375 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2022-01-14 16:24:21,485 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2022-01-14 16:26:27,234 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2022-01-14 16:26:27,349 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2022-01-14 16:27:12,294 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:27:12,419 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:27:12,475 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-01-14 16:27:12,581 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-01-14 16:27:14,790 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:27:14,903 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:42:36,269 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:42:36,528 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:42:36,570 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-01-14 16:42:36,835 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-01-14 16:42:39,596 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:42:39,707 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:50:07,820 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:50:08,078 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:50:08,113 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-01-14 16:50:08,365 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-01-14 16:50:12,046 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:50:12,144 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:54:59,689 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:54:59,793 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-01-14 16:54:59,841 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-01-14 16:54:59,941 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-01-14 16:55:05,139 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-01-14 16:55:05,241 LabDataService::? - Get_AllLab_List : MethodFinish
